Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-June-2022,410.00,412.80,406.15,409.20,409.601604460739184041,922179,18596,377725998.00,264348,28.67,6.65,-0.80
23-June-2022,395.10,409.70,394.75,407.20,403.780272489050961133,1091420,15517,440693865.00,234688,21.50,14.95,12.10
22-June-2022,397.30,397.30,390.55,393.00,393.812565321622736421,967329,18925,380946315.00,243328,25.15,6.75,-4.30
21-June-2022,389.00,399.00,386.85,397.60,394.968541695367887837,1509808,26880,596326664.00,648041,42.92,12.15,8.60
20-June-2022,390.10,392.95,376.70,382.75,382.647097641866274602,1356242,39641,518962065.00,431975,31.85,16.25,-7.35
17-June-2022,388.50,394.35,382.55,389.15,388.410640791034188671,1972203,48462,766024631.00,645894,32.75,11.80,0.65
16-June-2022,420.00,420.95,390.20,393.00,402.519060749273450357,833047,17447,335317296.00,238129,28.59,30.75,-27.00
15-June-2022,409.95,416.30,409.05,413.85,413.194036562441414463,789444,10793,326193553.00,292795,37.09,7.25,3.90
14-June-2022,403.55,411.90,397.65,405.05,405.356831830061295765,1399281,30485,567208113.00,461586,32.99,14.25,1.50
13-June-2022,416.55,418.30,405.70,406.70,410.151064988742441893,1389733,45349,570000470.00,643901,46.33,12.60,-9.85
10-June-2022,422.35,428.80,422.00,428.20,426.153901070604296041,733978,14594,312787588.00,273998,37.33,6.80,5.85
9-June-2022,432.60,435.75,426.30,428.55,430.171816650555444658,445859,8473,191795976.00,97738,21.92,9.45,-4.05
8-June-2022,438.25,440.30,431.90,435.60,435.678708943332570104,856012,18409,372946203.00,293627,34.30,8.40,-2.65
7-June-2022,432.35,438.00,429.00,435.95,432.499258182844696368,623469,15401,269649880.00,220856,35.42,9.00,3.60
6-June-2022,428.30,433.80,424.50,432.35,428.507146019777005541,745310,19694,319370661.00,227209,30.49,9.30,4.05
3-June-2022,444.10,445.00,430.50,431.90,436.027431208537640611,433375,9526,188963388.00,122022,28.16,14.50,-12.20
2-June-2022,445.35,445.50,435.65,439.00,439.762718119104823211,769591,19377,338437430.00,291290,37.85,9.85,-6.35
1-June-2022,444.20,446.00,439.60,444.70,442.727885395385170051,1065088,22509,471544158.00,446617,41.93,6.40,0.50
